artist_id,genre
5Z1CCuBsyhEHngq3U5IraY,other
5Z1CCuBsyhEHngq3U5IraY,europop
5Z1CCuBsyhEHngq3U5IraY,dance pop
5ZsFI1h6hIdQRw2ti0hz81,pop
5ZsFI1h6hIdQRw2ti0hz81,dance pop
5ZsFI1h6hIdQRw2ti0hz81,electropop
1oKdM70mJD8VvDOTKeS8t1,pop
6zuB9C5kSTT9InMFFSibOI,hip hop
73jBynjsVtofjRpdpRAJGk,electro
73jBynjsVtofjRpdpRAJGk,electro house
73jBynjsVtofjRpdpRAJGk,tropical house
73jBynjsVtofjRpdpRAJGk,house
73jBynjsVtofjRpdpRAJGk,dance
4IZLJdhHCqAvT4pjn8TLH5,grime
4IZLJdhHCqAvT4pjn8TLH5,hip hop
6yTYR09WCvsgdnurDW4WQo,electro
6yTYR09WCvsgdnurDW4WQo,other
6yTYR09WCvsgdnurDW4WQo,tropical house
6yTYR09WCvsgdnurDW4WQo,dance pop
6yTYR09WCvsgdnurDW4WQo,pop rap
7cAlvWK5rgMmJ37j7woN8l,r&b
7qG3b048QCHVRO5Pv1T5lw,latin
7qG3b048QCHVRO5Pv1T5lw,tropical
7qG3b048QCHVRO5Pv1T5lw,pop
7qG3b048QCHVRO5Pv1T5lw,dance pop
5JbALDn35ZrLwVAle4xVqZ,other
5JbALDn35ZrLwVAle4xVqZ,pop
6PcCgi0ladfogWN4ZEAwn1,j-rock
6PcCgi0ladfogWN4ZEAwn1,indie rock
4xRYI6VqpkE3UwrDrAZL8L,pop rap
4xRYI6VqpkE3UwrDrAZL8L,rap
4xRYI6VqpkE3UwrDrAZL8L,hip hop
6nxWCVXbOlEVRexSbLsTer,indie
6nxWCVXbOlEVRexSbLsTer,electro
6nxWCVXbOlEVRexSbLsTer,dance
6nxWCVXbOlEVRexSbLsTer,pop
6nxWCVXbOlEVRexSbLsTer,electropop
1By9QBFnjZAoI83BZppHlt,country
1By9QBFnjZAoI83BZppHlt,county rock
3PhoLpVuITZKcymswpck5b,rock
3PhoLpVuITZKcymswpck5b,mellow gold
6y8XlgIV8BLlIg1tT1R10i,country
7KkqUt65v6LMtR369OQ6FB,other
4SsVbpTthjScTS7U2hmr1X,reggaeton
4SsVbpTthjScTS7U2hmr1X,hip hop
4SsVbpTthjScTS7U2hmr1X,latin
4SsVbpTthjScTS7U2hmr1X,tropical
4SsVbpTthjScTS7U2hmr1X,trap
0cMsSWXCY2Wag16luxN6fL,rap
0cMsSWXCY2Wag16luxN6fL,pop
0cMsSWXCY2Wag16luxN6fL,hip hop
1eeWVOCazGzGQXOGhnDHTB,hip hop
5BANJdBRihIaUpzjqAec7E,r&b
5BANJdBRihIaUpzjqAec7E,other
5BANJdBRihIaUpzjqAec7E,j-rock
5BANJdBRihIaUpzjqAec7E,j-pop
6t9tbRO9Lv6Oq6xtVwfdrn,pop
2OUgs5INWK2UEvZ6amWiJr,sertanejo
4L9VSeE7K3BTBndqEL9A6q,j-pop
63XBtGSEZINSyXylZxEUbv,pop
63XBtGSEZINSyXylZxEUbv,r&b
63XBtGSEZINSyXylZxEUbv,deep pop r&b
63XBtGSEZINSyXylZxEUbv,indie r&b
4Ga1P7PMIsmqEZqhYZQgDo,rap
28j8lBWDdDSHSSt5oPlsX2,electro
28j8lBWDdDSHSSt5oPlsX2,house
1fcS44jH4wr0qwxSVdxWyX,pop
2Fc5cGXai8xzLhGyltp4tT,hip hop
24icoQNJSEWNu3XvqKBR68,indie jazz
24icoQNJSEWNu3XvqKBR68,r&b
24icoQNJSEWNu3XvqKBR68,soul
24icoQNJSEWNu3XvqKBR68,indie r&b
24icoQNJSEWNu3XvqKBR68,indie soul
6eUKZXaKkcviH0Ku9w2n3V,pop
0tPKcpC8yXpfdWXFcN7Vwr,grime
0tPKcpC8yXpfdWXFcN7Vwr,hip hop
0pt7PX4Hftlg8mV1ySU84Q,electropop
5gSFxPK5Te7WRIKL5CEWos,j-dance
5NhgsV7qPWHZqYEMKzbYvo,pop
4bL2B6hmLlMWnUEZnorEtG,electro
4bL2B6hmLlMWnUEZnorEtG,electro house
4bL2B6hmLlMWnUEZnorEtG,tropical house
4bL2B6hmLlMWnUEZnorEtG,pop
4bL2B6hmLlMWnUEZnorEtG,dance pop
4bL2B6hmLlMWnUEZnorEtG,dance
7aBzpmFXB4WWpPl2F7RjBe,rap
0bg3fNpRQgZTCAg3Bseyly,brazilian funk
2zGf6lwQ9PxXdoeo5XXP2K,pop
2zGf6lwQ9PxXdoeo5XXP2K,hip hop
19oTSjL9FYG6cemjnNwiuF,j-pixie
19oTSjL9FYG6cemjnNwiuF,electropop
6f9bmfkqiYbhCtdAZsv7KI,trap
6f9bmfkqiYbhCtdAZsv7KI,hip hop
5lpH0xAS4fVfLkACg9DAuM,europop
5lpH0xAS4fVfLkACg9DAuM,rock
5lpH0xAS4fVfLkACg9DAuM,new wave
0jEyGu5QKLxQ2tIZVnRbfE,rap
0jEyGu5QKLxQ2tIZVnRbfE,trap
2QaL4Mj0beDXYBJuer1TUe,hip hop
6Y8pfJkEdw4EAST4g9C026,sertanejo
2QsynagSdAqZj3U9HgDzjD,reggae
10exVja0key0uqUkk6LJRT,indie
10exVja0key0uqUkk6LJRT,rock
10exVja0key0uqUkk6LJRT,folk-pop
10exVja0key0uqUkk6LJRT,pop rock
10exVja0key0uqUkk6LJRT,pop
7x3eTVPlBiPjXHn3qotY86,pop
7x3eTVPlBiPjXHn3qotY86,francoton
7x3eTVPlBiPjXHn3qotY86,hip hop
0PFtn5NtBbbUNbU9EAmIWF,rock
0PFtn5NtBbbUNbU9EAmIWF,classic rock
0PFtn5NtBbbUNbU9EAmIWF,mellow gold
1WQBwwssN6r8DSjUlkyUGW,brazilian funk
1WQBwwssN6r8DSjUlkyUGW,hip hop
6veh5zbFpm31XsPdjBgPER,escape room
6veh5zbFpm31XsPdjBgPER,rap
6veh5zbFpm31XsPdjBgPER,trap
4ko6Ysxtvx9EY9GEFslrIz,reggae
4ko6Ysxtvx9EY9GEFslrIz,rap
4ko6Ysxtvx9EY9GEFslrIz,hip hop
6ioOEWNNGK40H8xrGj6XPW,soul
6ioOEWNNGK40H8xrGj6XPW,indie pop
6ioOEWNNGK40H8xrGj6XPW,pop
6ioOEWNNGK40H8xrGj6XPW,indietronica
6ioOEWNNGK40H8xrGj6XPW,electropop
5ht2HGrvbN9eDWJarHsou6,rock
5SulO4l40qDuV9zUGLZx7n,hip hop
1vCWHaC5f2uS3yhpwWbIA6,electro
1vCWHaC5f2uS3yhpwWbIA6,tropical house
1vCWHaC5f2uS3yhpwWbIA6,house
1vCWHaC5f2uS3yhpwWbIA6,pop
1vCWHaC5f2uS3yhpwWbIA6,dance pop
45eNHdiiabvmbp4erw26rg,electro
45eNHdiiabvmbp4erw26rg,dubstep
45eNHdiiabvmbp4erw26rg,tropical house
45eNHdiiabvmbp4erw26rg,pop
45eNHdiiabvmbp4erw26rg,electropop
4iHNK0tOyZPYnBU7nGAgpQ,pop
4iHNK0tOyZPYnBU7nGAgpQ,r&b
4iHNK0tOyZPYnBU7nGAgpQ,dance pop
4iHNK0tOyZPYnBU7nGAgpQ,urban contemporary
4m90Zo0X5ACTTk27IZ9eMY,pop
4m90Zo0X5ACTTk27IZ9eMY,hip hop
4cPHsZM98sKzmV26wlwD2W,adult standards
4cPHsZM98sKzmV26wlwD2W,rock
4cPHsZM98sKzmV26wlwD2W,lounge
4cPHsZM98sKzmV26wlwD2W,pop
4cPHsZM98sKzmV26wlwD2W,easy listening
61ipISvUVa5LkJlKZnm3Oo,electro
61ipISvUVa5LkJlKZnm3Oo,tropical house
61ipISvUVa5LkJlKZnm3Oo,house
61ipISvUVa5LkJlKZnm3Oo,pop
61ipISvUVa5LkJlKZnm3Oo,dance
7unNuvk3OEqGmegHTaxRA9,anime
7unNuvk3OEqGmegHTaxRA9,j-pop
7unNuvk3OEqGmegHTaxRA9,j-rock
67MNhiAICFY6Pwc2YxCO0K,indie pop
67MNhiAICFY6Pwc2YxCO0K,soul
67MNhiAICFY6Pwc2YxCO0K,pop
67MNhiAICFY6Pwc2YxCO0K,electropop
6jJ0s89eD6GaHleKKya26X,pop
6jJ0s89eD6GaHleKKya26X,dance pop
3U0pUvFUMv6gJiTFnXiueY,rap
3U0pUvFUMv6gJiTFnXiueY,hip hop
4NiJW4q9ichVqL1aUsgGAN,pop punk
4NiJW4q9ichVqL1aUsgGAN,emo
4NiJW4q9ichVqL1aUsgGAN,metal
30o4QIjXJukHg0IGC93AV1,other
0huGjMyP507tBCARyzSkrv,pop rap
0huGjMyP507tBCARyzSkrv,rap
0huGjMyP507tBCARyzSkrv,trap
0huGjMyP507tBCARyzSkrv,hip hop
5ShkaitLUorYdZgJMqTF5E,electropop
43DrL9cHm49HEwg85idE2c,trap
1mMUzAMrNqoTHgtxA0dZi6,rap
1mMUzAMrNqoTHgtxA0dZi6,pop
1mMUzAMrNqoTHgtxA0dZi6,hip hop
4TH4BHy0LdBi3dpBW4P2UX,reggae
3FUY2gzHeIiaesXtOAdB7A,pop
3FUY2gzHeIiaesXtOAdB7A,indie
3FUY2gzHeIiaesXtOAdB7A,pop rock
3FUY2gzHeIiaesXtOAdB7A,dance pop
4eJsV1Gy3Aaq5k4e0TyCSW,rap
3pVfscwg2QxhdHtk966inb,hip hop
257G4gJ7XVp8Ec8TrjGyMW,pop
1F30RWETubxDmbyfxeVPg7,other
1F30RWETubxDmbyfxeVPg7,schlager
1F30RWETubxDmbyfxeVPg7,pop
7lMgpN1tEBQKpRoUMKB8iw,pop
7lMgpN1tEBQKpRoUMKB8iw,rap
7lMgpN1tEBQKpRoUMKB8iw,francoton
1yqxFtPHKcGcv6SXZNdyT9,electro
1yqxFtPHKcGcv6SXZNdyT9,tropical house
1yqxFtPHKcGcv6SXZNdyT9,house
1yqxFtPHKcGcv6SXZNdyT9,pop
1yqxFtPHKcGcv6SXZNdyT9,dance pop
6QS84S3i4gwdEKqWoTtDLd,pop
6QS84S3i4gwdEKqWoTtDLd,francoton
6QS84S3i4gwdEKqWoTtDLd,hip hop
5yES5e4EJpUB0tfmWi3eao,pop
5yES5e4EJpUB0tfmWi3eao,brazilian funk
2TiXt00aPsggbxZxL1RaG7,pop
5Sjj30aHCmKcM9SdVX7PBK,reggaeton
5Sjj30aHCmKcM9SdVX7PBK,hip hop
04vj3iPUiVh5melWr0w3xT,other
04vj3iPUiVh5melWr0w3xT,pop
04vj3iPUiVh5melWr0w3xT,electropop
5mnS9jJdKQQcRSqFu5YPVe,other
4poL7YCSkG7kMnWjAdDU91,pop
4poL7YCSkG7kMnWjAdDU91,hip hop
586uxXMyD5ObPuzjtrzO1Q,pop
586uxXMyD5ObPuzjtrzO1Q,electropop
1NBkKa2SgVP0uirl5vAB8t,sertanejo
2wkoKEfS6dXwThbyTnZWFU,latin
2wkoKEfS6dXwThbyTnZWFU,reggaeton
2wkoKEfS6dXwThbyTnZWFU,pop
3p4FNslxuuEYSEnMsx4YI1,rap
3p4FNslxuuEYSEnMsx4YI1,pop
3p4FNslxuuEYSEnMsx4YI1,hip hop
1Ml4OuStDoympbREURAM15,adult standards
1Ml4OuStDoympbREURAM15,other
3EOEK57CV77D4ovYVcmiyt,pop
0T5lSNqv0Utp1JPA21CWDw,j-division
7zJL978NtANOysfGY21ty6,grime
7zJL978NtANOysfGY21ty6,hip hop
