artist_1,artist_2,count,song_id
Hailee Steinfeld,watt,2,5AEtlRudpgdT5FtNiuly6Y
Hailee Steinfeld,watt,2,5Gu0PDLN4YJeW75PpBSg9p
Katy Perry,Skip Marley,2,5ndfVSDyPq90jaIUhNPeby
Katy Perry,Skip Marley,2,6520aj0B4FSKGVuKNsOCOi
Frank Ocean,Steve Lacy,2,1pGAvZo2axYXAXYiSeYEqY
Frank Ocean,Steve Lacy,2,4bEcoz1OcfMgUbp2ft8ieQ
Frank Ocean,"Tyler, The Creator",2,1pGAvZo2axYXAXYiSeYEqY
Frank Ocean,"Tyler, The Creator",2,4bEcoz1OcfMgUbp2ft8ieQ
Steve Lacy,"Tyler, The Creator",2,1pGAvZo2axYXAXYiSeYEqY
Steve Lacy,"Tyler, The Creator",2,4bEcoz1OcfMgUbp2ft8ieQ
Daddy Yankee,Luis Fonsi,2,5CtI0qwDJkDQGwXD1H1cLb
Daddy Yankee,Luis Fonsi,2,4aWmUDTfIPGksMNLV2rQP2
Katy Perry,Nicki Minaj,2,2kVHAQKVtczchKctctzbtK
Katy Perry,Nicki Minaj,2,3VRk65lHSwqd90TAkQqhvB
Kendrick Lamar,Maroon 5,1,5MFzQMkrl1FOOng9tq6R9r
Hailee Steinfeld,Machine Gun Kelly,1,77lGafvlU68CeHgB2pkHC9
Joe Moses,Ty Dolla $ign,1,70mIuBKGTPrWMwWq9D4F56
Chris Brown,Gucci Mane,1,05Z7jet4VDNVgNQWcYHnrk
Chris Brown,Usher,1,05Z7jet4VDNVgNQWcYHnrk
Gucci Mane,Usher,1,05Z7jet4VDNVgNQWcYHnrk
Anne-Marie,Mike Posner,1,42NpUvd0I2kdIuMXX4nobE
Anne-Marie,Nick Jonas,1,42NpUvd0I2kdIuMXX4nobE
Mike Posner,Nick Jonas,1,42NpUvd0I2kdIuMXX4nobE
Camila Cabello,Daddy Yankee,1,3whrwq4DtvucphBPUogRuJ
The Chainsmokers,XYLØ,1,0B8B8cVRFIG1yznoQe7c9s
Lil Uzi Vert,Migos,1,4Km5HrUvYTaSUfiSGPJeQR
Cheat Codes,Dante Klein,1,0lmdsH1MIoLsMymnNpd6HU
DJ Khaled,Drake,1,3pC1ILr9KzmQLMe8Kn5QBG
Kirsty MacColl,The Pogues,1,3VTNVsTTu05dmTsVFrmGpK
Illy,Marko Penn,1,2NjgNtG2oTS3RJsrWxlgnG
G-Eazy,Kehlani,1,1Eck97uRMlprKOOJN9oO1E
Beyoncé,J Balvin,1,7fwXWKdDNI5IutOMc5OKYw
Beyoncé,Willy William,1,7fwXWKdDNI5IutOMc5OKYw
